repo,method,k,precision,recall,f1,ndcg,n_relevant,n_retrieved
pydantic/pydantic-ai,BM25,5,0.8,0.2667,0.4,0.8688,15,10
pydantic/pydantic-ai,BM25,10,0.5,0.3333,0.4,0.63,15,10
pydantic/pydantic-ai,embedding,5,1.0,0.3333,0.5,1.0,15,10
pydantic/pydantic-ai,embedding,10,0.6,0.4,0.48,0.7223,15,10
pydantic/pydantic-ai,embedding_code,5,0.8,0.2667,0.4,0.8539,15,10
pydantic/pydantic-ai,embedding_code,10,0.6,0.4,0.48,0.6988,15,10
pydantic/pydantic-ai,embedding_doc,5,1.0,0.3333,0.5,1.0,15,10
pydantic/pydantic-ai,embedding_doc,10,0.5,0.3333,0.4,0.6489,15,10
pydantic/pydantic-ai,embedding_requirement,5,0.2,0.0667,0.1,0.1461,15,10
pydantic/pydantic-ai,embedding_requirement,10,0.3,0.2,0.24,0.2247,15,10
pydantic/pydantic-ai,embedding_readme,5,0.8,0.2667,0.4,0.786,15,10
pydantic/pydantic-ai,embedding_readme,10,0.4,0.2667,0.32,0.5101,15,10
jet-admin/jet-bridge,BM25,5,0.2,0.1667,0.1818,0.1312,6,10
jet-admin/jet-bridge,BM25,10,0.2,0.3333,0.25,0.2179,6,10
jet-admin/jet-bridge,embedding,5,0.2,0.1667,0.1818,0.3392,6,10
jet-admin/jet-bridge,embedding,10,0.1,0.1667,0.125,0.3026,6,10
jet-admin/jet-bridge,embedding_code,5,0.2,0.1667,0.1818,0.3392,6,10
jet-admin/jet-bridge,embedding_code,10,0.3,0.5,0.375,0.4989,6,10
jet-admin/jet-bridge,embedding_doc,5,0.0,0.0,0.0,0.0,6,10
jet-admin/jet-bridge,embedding_doc,10,0.0,0.0,0.0,0.0,6,10
jet-admin/jet-bridge,embedding_requirement,5,0.0,0.0,0.0,0.0,6,10
jet-admin/jet-bridge,embedding_requirement,10,0.0,0.0,0.0,0.0,6,10
jet-admin/jet-bridge,embedding_readme,5,0.2,0.1667,0.1818,0.3392,6,10
jet-admin/jet-bridge,embedding_readme,10,0.1,0.1667,0.125,0.3026,6,10
grantjenks/python-sortedcontainers,BM25,5,0.2,0.2,0.2,0.1461,5,10
grantjenks/python-sortedcontainers,BM25,10,0.1,0.2,0.1333,0.1461,5,10
grantjenks/python-sortedcontainers,embedding,5,0.2,0.2,0.2,0.214,5,10
grantjenks/python-sortedcontainers,embedding,10,0.2,0.4,0.2667,0.3348,5,10
grantjenks/python-sortedcontainers,embedding_code,5,0.2,0.2,0.2,0.1312,5,10
grantjenks/python-sortedcontainers,embedding_code,10,0.1,0.2,0.1333,0.1312,5,10
grantjenks/python-sortedcontainers,embedding_doc,5,0.2,0.2,0.2,0.3392,5,10
grantjenks/python-sortedcontainers,embedding_doc,10,0.2,0.4,0.2667,0.4522,5,10
grantjenks/python-sortedcontainers,embedding_requirement,5,0.0,0.0,0.0,0.0,5,10
grantjenks/python-sortedcontainers,embedding_requirement,10,0.0,0.0,0.0,0.0,5,10
grantjenks/python-sortedcontainers,embedding_readme,5,0.2,0.2,0.2,0.3392,5,10
grantjenks/python-sortedcontainers,embedding_readme,10,0.1,0.2,0.1333,0.3392,5,10
MagicStack/uvloop,BM25,5,0.6,0.5,0.5455,0.6164,6,10
MagicStack/uvloop,BM25,10,0.3,0.5,0.375,0.55,6,10
MagicStack/uvloop,embedding,5,0.6,0.5,0.5455,0.6992,6,10
MagicStack/uvloop,embedding,10,0.4,0.6667,0.5,0.7149,6,10
MagicStack/uvloop,embedding_code,5,0.4,0.3333,0.3636,0.5087,6,10
MagicStack/uvloop,embedding_code,10,0.3,0.5,0.375,0.5494,6,10
MagicStack/uvloop,embedding_doc,5,0.4,0.3333,0.3636,0.3601,6,10
