method,k,precision,recall,f1,ndcg
BM25,5,0.3024,0.1813,0.2123,0.3522
BM25,10,0.2122,0.2608,0.2195,0.3207
embedding_code,5,0.3707,0.2537,0.2827,0.4196
embedding_code,10,0.2683,0.3585,0.2864,0.4101
embedding_doc,5,0.3366,0.2399,0.2623,0.3711
embedding_doc,10,0.2317,0.3188,0.2509,0.3515
embedding_readme,5,0.2537,0.1585,0.1803,0.2742
embedding_readme,10,0.1829,0.223,0.1862,0.2621
embedding_requirement,5,0.0537,0.0253,0.0323,0.0544
embedding_requirement,10,0.0537,0.0533,0.0498,0.0615
repo-embedding,5,0.2732,0.1849,0.2069,0.3088
repo-embedding,10,0.239,0.3187,0.255,0.3384
code+doc,5,0.361,0.256,0.2812,0.409
code+doc,10,0.2561,0.3553,0.2788,0.3957
code+readme,5,0.3415,0.2287,0.2556,0.4051
code+readme,10,0.2659,0.3418,0.2788,0.4014
code+doc+readme,5,0.3707,0.2549,0.2826,0.4242
code+doc+readme,10,0.2683,0.3619,0.2879,0.4129
code+doc+readme+req,5,0.2976,0.2058,0.2284,0.3314
code+doc+readme+req,10,0.2463,0.3321,0.2644,0.3544
